postal_code,lat,lon,place
81001,56.0032,22.9366,Klaipėda
91001,55.7172,21.1175,Klaipėda
94007,55.7172,21.1175,Žardės k.
96041,55.6851,21.2633,Švepelių k.
93012,55.3719,21.0647,Neringa
93017,55.3719,21.0647,Neringa
00001,55.9175,21.0686,Palanga
00009,55.9175,21.0686,Palanga
91022,55.7172,21.1175,Luišių k.
96001,55.7128,21.4033,Gargždai
96008,55.7167,21.4833,Pikteikių k.
96011,55.6619,21.3572,Lyverių k.
96014,55.7833,21.2833,Grauminės k.
96020,55.6006,21.5969,Ažpurvių k.
96026,55.6006,21.5969,Valučių k.
96032,55.5833,21.8167,Pakapio k.
96035,55.5833,21.8167,Patyrio k.
96044,55.8167,21.2,Kretingalė
96047,55.5536,21.3267,Daugmantų k.
91023,55.7172,21.1175,Petreikių k.
97001,55.8758,21.2508,Raguviškių k.
97011,55.9701,21.3861,SB „Medvalkis“
97014,55.9701,21.3861,Žibininkų k.
97017,55.9701,21.3861,Kurmaičių k.
97023,56.0167,21.25,Kašučių k.
97029,56.0167,21.25,Mažonų k.
97035,56.0667,21.5667,Žeimių k.
97038,56.0667,21.5667,Klausgalvių k.
97041,55.9211,21.4769,Vėlaičių k.
98001,56.2667,21.5333,Trūbakių k.
98008,56.2667,21.5333,Baltrimų k.
98014,56.1667,21.8667,Kruopių k.
98017,56.1667,21.8667,Laumaičių k.
98023,56.1667,21.5833,Šliktinės k.
98026,56.1667,21.5833,Palšių k.
98032,56.1916,21.3154,Šakalių k.
98038,56.1916,21.3154,Lenkimų k.
98041,56.215,21.6297,Skypsčių k.
98044,56.215,21.6297,Dvaralio k.
98047,56.215,21.6297,Guntino k.
98050,56.2833,21.85,Visgaudžių k.
99001,55.3489,21.4831,Šilutė
99005,55.3592,21.7022,Galnės k.
99011,55.2867,21.8278,Katyčiai
99038,55.1381,21.9089,Žemaitkiemio k.
99044,55.3183,21.38,Skierių k.
99047,55.3183,21.38,Pakalnės k.
99050,55.4181,21.2633,Raudžių k.
99053,55.4181,21.2633,Aisėnų k.
99056,55.5197,21.6208,Razmų k.
99060,55.3858,21.7631,Alkos k.
99063,55.4067,21.6617,Gnybalų k.
99069,55.365,21.8644,Balčių k.
68001,54.5667,23.35,Aleksandravo k.
69001,54.6024,23.419,Panausupio k.
69005,54.6024,23.419,Mačiuliškės k.
69009,54.6024,23.419,Pušinių k.
69013,54.5,23.5833,Daukšiai
69016,54.5,23.5833,Panausupio k.
69022,54.4833,23.35,Zviniškių k.
69026,54.4833,23.35,Buktos k.
69065,54.65,23.3167,Grybinės k.
69068,54.65,23.3167,Gavaltuvos k.
69094,54.65,23.4667,Pagelumbiškio k.
69097,54.65,23.4667,Skriaudučio k.
70001,54.6517,23.0322,Stirniškių k.
70009,54.6517,23.0322,Opšrūtų k.
70013,54.55,23.15,Gižų Daržininkų k.
70017,54.55,23.15,Mockabūdžių k.
70021,55.1167,23.1167,Norvydų k.
70029,55.5167,23.7167,Duonelaičių k.
70037,54.4544,22.7111,Vištytis
70045,54.7839,23.0654,Torieliškių k.
70053,54.7839,23.0654,Lakštučių k.
70057,54.7839,23.0654,Paežerių k.
70061,54.6267,22.8169,Šeštinių k.
70065,54.6386,22.7632,Kybartai
70069,54.6326,22.7901,Šūklių k.
70073,54.7839,23.0654,Kataučiznos k.
70085,54.7167,23.2167,Penkvalakių k.
69030,54.4,23.2333,Kalvarija
69037,54.4,23.2333,Trikampių k.
69044,54.6024,23.419,Šarkio k.
69047,54.6024,23.419,Valinčiškių k.
69052,54.6024,23.419,Laibikių k.
69071,54.6024,23.419,Rūdupio k.
69074,54.6024,23.419,Timinčiškės k.
69080,54.7667,23.4833,Jūrė
69083,54.7667,23.5,Beržiniškės k.
69088,54.7667,23.4917,Princiškių k.
69091,54.65,23.4667,Utalinos k.
71029,54.9667,23.5,Išdagų k.
71001,54.95,23.05,Ritinių k.
71005,54.95,23.1833,Lepšių k.
71009,54.95,23.1167,Gerdžių k.
71013,55.0667,23.4417,Šalnynės k.
71017,55.0667,23.4417,Danciškių k.
71021,54.9667,23.5,Lekėčiai
71033,54.9382,23.1621,Kubiliškės k.
71037,54.9382,23.1621,Pupių k.
71041,54.85,23.1667,Katilių k.
71045,54.8,23.0167,Karnių k.
71049,54.7731,22.8631,Tarpučių k.
71057,54.8794,22.9819,Sintautai
71061,54.9382,23.1621,Žaltynų k.
71065,54.9382,23.1621,Verpikų k.
71069,54.9382,23.1621,Liepalotų k.
71073,54.9382,23.1621,Gudlaukio k.
71077,54.9382,23.1621,Kirkilų k.
71081,55.0792,22.9758,Berckių k.
71085,55.0792,22.9758,Pakalniškių k.
71093,54.9382,23.1621,Pamiškių k.
35001,55.7333,24.35,Panevėžys
36001,55.7333,24.35,Panevėžys
36010,55.7333,24.35,Panevėžys
37001,55.7333,24.35,SB „Klevas“
37005,55.7333,24.35,Panevėžys
37010,55.7333,24.35,SB „Ekranas-1“
38007,55.7333,24.35,Panevėžys
38052,55.7333,24.35,Panevėžys
38082,55.7333,24.35,Panevėžys
41001,56.2,24.75,Skriaudupio k.
41012,56.1167,25.0,Papilys
41033,55.9667,24.75,Vabalninkas
41040,56.1858,24.6367,Pagirių k.
41058,56.3964,24.7706,Ločių k.
41062,56.1511,24.8122,Dagiškio k.
41071,56.0411,24.9661,Žvejotgalos k.
41072,56.0411,24.9661,Upeliškio k.
41073,56.0411,24.9661,Pakvetkės k.
40001,55.8333,24.9667,Slavinčiškio k.
40018,55.7333,25.15,Butėnų k.
40030,55.8,24.8833,Pakarklių k.
40033,55.7333,24.7833,Kunčių k.
40049,55.8833,25.2,Žiogų k.
40055,55.9333,24.9,Juodlaukio k.
40056,55.9333,24.9,Salamiestis
38010,55.5167,24.5667,Limeikių k.
38013,55.4833,24.6,Šilai
38016,55.5167,24.5667,Oželių k.
38019,55.5,24.5,Stieprų k.
38031,55.5167,24.3,Vaidilų k.
38037,55.5167,24.3,Slabados k.
38040,55.6167,24.125,Beržytės k.
38043,55.55,24.1,Laukagalių k.
38046,55.6167,24.125,Ibutonių k.
38049,55.6833,24.15,Drąseikių k.
38055,55.65,24.6,Matarakų k.
38064,55.6348,24.4182,SB „Merkurijus“
38067,55.6348,24.4182,Kaukiškių k.
38070,55.8333,24.7,SB „Lietkabelis“
38079,55.8333,24.7,Geležiai
39001,56.0594,24.4036,Pagojo ll k.
39006,55.9667,24.5167,Baliečių k.
39012,55.9333,24.35,Pumpėnai
39015,55.9167,24.25,Jaciūnų k.
39027,56.0253,24.1689,Austakynės k.
39034,56.1667,24.2108,Vaškai
39040,56.2278,24.4106,Baravykynės k.
39049,56.2278,24.4106,Šakarnių k.
39052,56.0831,24.5256,Juodžionių k.
39055,56.0831,24.5256,Vidubalės k.
39058,56.0831,24.5256,Paberlių k.
42001,55.9667,25.5833,Ignotiškio k.
42006,55.9333,25.8,Obeliai
42013,55.7833,25.6833,Bagdoniškio k.
42016,55.7833,25.6833,Raugų k.
42022,55.8167,25.5,Mikniūnų k.
42025,55.75,25.5167,Nečionių k.
42028,55.8167,25.3667,Salos
42031,55.9167,25.4833,Vėbrių k.
42034,55.9167,25.4833,Serapiniškio k.
42041,56.0167,25.2167,Eidžionių k.
42063,56.0833,25.6167,Lauciūnų k.
42069,56.1022,25.3255,Radeikių k.
76001,55.9333,23.3167,Šiauliai
