postal_code,lat,lon,place
5217,56.2482,26.0426,Elkšņi
5237,56.4528,25.7943,Klauce
5228,56.2713,25.9933,Rites
5224,56.2713,25.9933,Lone
5211,56.2482,26.0426,Atašiene
5202,56.5259,25.8808,Krustpils
5204,56.4979,25.8693,Spunģēni
5222,56.2713,25.9933,Kūkas
5226,56.5378,26.2424,Mežāre
5209,56.4979,25.8693,Antūži
5236,56.4528,25.7943,Varieši
5238,56.4528,25.7943,Vīpe
5214,56.2482,26.0426,Birži
5230,56.5068,25.7642,Indrāni
5232,56.5589,25.638,Sēlija
3001,56.65,23.7128,Jelgava
3002,56.65,23.7128,Jelgava
3003,56.65,23.7128,Jelgava
3004,56.65,23.7128,Jelgava
3007,56.65,23.7128,Jelgava
3008,56.65,23.7128,Jelgava
3018,56.65,23.7128,Jelgava
3023,56.4159,23.6833,Eleja
3040,56.6182,23.448,Nākotne
3031,56.563,23.8746,Dzirnieki
3016,56.7741,23.6199,Poķi
3017,56.8371,23.5553,Kaļķis
3022,56.4508,23.6638,Lielplatone
3014,56.6875,23.4969,Līvbērze
3021,56.5046,23.6858,Poķi
3036,56.5158,23.7479,Lielvircava
3034,56.4037,23.7471,Bērvircava
3028,56.5306,23.6047,Jēkabnieki
3026,56.4348,23.4797,Ziedkalne
3020,56.5588,23.7726,Vircava
3037,56.5205,23.8516,Mazlauki
3011,56.5266,23.508,Zaļenieki
3042,56.6818,23.842,Brankas
3043,56.6429,23.8254,Raubēni
3045,56.5277,24.0347,Renceles
2008,56.968,23.7704,Jurmala
2010,56.968,23.7704,Jurmala
2011,56.968,23.7704,Jurmala
2012,56.968,23.7704,Jurmala
2015,56.968,23.7704,Jurmala
2016,56.968,23.7704,Jurmala
5681,56.0479,27.2654,Žaunerāni
5664,55.8582,27.5156,Auguļi
5652,55.9749,27.0822,Beržine
5660,55.8815,27.3542,Trušeļi
5668,55.8444,27.1012,Veckaplava
5656,55.974,27.2312,Vidoki
5601,55.9274,27.1967,Pirmie Tračumi
5662,55.8185,27.4789,Aleksandrova
5666,55.9674,27.5903,Mihalova
5671,55.9752,27.3883,Teneismuiža
5651,55.8915,27.1155,Lielie Muļķi
5687,56.1347,27.3673,Dilmani
5696,56.1888,27.5124,Kulakova
5676,56.0238,27.5907,Pļupova
5697,56.1222,27.7195,Gereniškas
5674,56.0984,27.5564,Vecdome
5692,56.2236,27.6381,Šusti
5680,56.0731,27.4096,Sivergala
5677,56.0069,27.7628,Barinauci
5698,56.0776,27.6502,Veiziniški
5695,56.1644,27.9091,Davidenki
3310,57.0206,21.6911,Ēdole
3312,56.8865,21.6023,Gudenieki
3313,56.995,21.76,Īvande
3314,56.9517,22.3957,Kabile
3301,56.962,21.9218,Priedaine
3332,56.7678,21.9414,Vilgāle
3317,56.7464,21.8805,Laidi
3330,56.6976,21.8046,Valtaiķi
3321,57.0236,21.8519,Ķimale
3322,56.9209,21.966,Pelči
3319,57.0421,22.1292,Ozoli
3309,56.9004,22.0741,Novadnieki
3328,56.8408,21.9445,Snēpele
3329,56.8352,21.7706,Turlava
3333,56.873,22.2372,Vārme
3307,56.6517,22.0559,Jaunmuiža
3326,56.679,22.0628,Ciecere
3320,56.5687,21.9009,Dzelda
3323,56.7842,21.9935,Raņķi
3324,56.6422,21.8876,Rudbārži
3325,56.702,21.8973,Sieksāte
3306,56.9819,21.5594,Alsunga
3401,56.5047,21.0109,Liepaja
3402,56.5047,21.0109,Liepaja
3405,56.5047,21.0109,Liepaja
3407,56.5047,21.0109,Liepaja
3411,56.5047,21.0109,Liepaja
3414,56.5047,21.0109,Liepaja
3416,56.5047,21.0109,Liepaja
3430,56.5047,21.0109,Liepaja
4001,57.5549,24.7468,Priedes
4061,57.6008,24.858,Pociems
4010,57.3216,24.6869,Limbažu
4011,57.4228,24.6972,Lādezers
4020,57.4623,24.6205,Lāde
4052,57.699,24.6711,Pāle
4025,57.3737,24.4945,Skulte
4004,57.5171,24.8094,Umurga
4013,57.3235,24.6394,Gravas
4050,57.6112,24.6108,Viļķene
4064,57.771,24.8119,Ungurpils
4043,57.5425,24.6344,Staiceles
4068,57.7206,25.0162,Vilzēni
4063,57.6375,25.0492,Ozolmuiža
4035,57.6692,24.4081,Mērnieki
4033,57.7302,24.4804,Vitrupe
4054,57.7706,24.5436,Korģene
4022,57.5009,24.4267,Tūja
4023,57.4658,24.3884,Lembuži
5707,56.4282,27.9834,Mazā Pīkova
5735,56.5148,27.5423,Putinova
5701,56.5122,27.7266,Būrušķi
5709,56.5393,27.8578,Stocinova
5716,56.452,27.8967,Špeneri
5729,56.4319,27.8663,Rikmani
5711,56.2738,28.0763,Garanu Šķaune
5748,56.2547,27.8821,Cegeļņa
5736,56.3572,27.8769,Bogomoli
5730,56.4502,27.7261,Belomoiki
5733,56.3698,27.7726,Kurnalina
5745,56.4642,27.6284,Ignatova
5739,56.2544,27.7651,Kasaverina
5704,56.7402,27.8154,Zeļči
5717,56.7747,27.6567,Soldoni
5750,56.7767,27.7971,Straujenka
5725,56.6684,27.5243,Mikazāni
5737,56.7211,27.566,Griudinīši
5726,56.6989,27.7421,Silagaiļi
5740,56.8138,27.5119,Aizeļkšņi
5722,56.3202,27.9731,Blonti
5732,56.2558,28.2031,Grišina
5705,56.3256,28.1025,Surmači
5751,56.3989,28.1417,Troški
5706,56.6264,27.8417,Cabuli
5719,56.5687,28.0034,Krivanda
5742,56.6439,27.721,Šaraki
5752,56.5678,27.7927,Lucmuiža
4846,56.9237,26.0612,Lautere
4847,56.8985,26.1281,Kusa
4834,56.7691,26.5446,Stalīdzāni
4853,56.8087,26.0314,Bērzaune
4873,56.9797,26.4256,Aizpurve
4860,56.6882,25.9713,Jaunkalsnava
4801,56.8254,26.2408,Jaunlazdona
4824,56.8276,26.2442,Lazdona
4884,56.9825,26.0544,Ozoli
4862,56.7092,26.1942,Ļaudona
4863,56.695,26.267,Ļaudonas
4852,56.7731,26.1018,Mārciena
4865,56.6549,26.3087,Ozolkalns
4830,56.8533,26.742,Ošupe
4833,56.7991,26.7477,Degumnieki
4825,56.824,26.3015,Prauliena
4870,56.8795,26.2611,Sarkaņi
4855,56.8662,25.8734,Vestiena
4871,56.9795,26.2222,Kārzdaba
4880,57.0005,26.3149,Kraukļi
4826,56.8314,26.6117,Meirāni
4840,56.9734,25.5543,Katrīna
4844,56.8845,25.7753,Jumurda
4841,56.8151,25.5602,Liepkalne
5012,56.7382,25.1177,Krape
5062,56.8915,25.1798,Ķeipene
5044,56.8586,25.0207,Laubere
5045,56.8461,25.155,Madliena
