postal_code,lat,lon,place
75118,59.2273,24.9784,Tuhala
75119,59.2075,24.9346,Tammiku
75120,59.1919,24.9544,Kata
75121,59.1937,25.0579,Kolu
75122,59.1991,25.09,Tade
75123,59.1794,25.1037,Kuivajõe
75124,59.2001,25.0873,Tade
75125,59.2135,25.1325,Krei
75126,59.2285,25.2603,Nõmbra
74601,59.4449,25.4375,Kuusalu
74602,59.4911,25.6173,Kolga
74604,59.4489,25.3881,Kiiu
74605,59.4972,25.4583,Andineeme
74606,59.4241,25.4959,Aru
74607,59.4372,25.5478,Hirvli
74608,59.409,25.482,Kosu
74609,59.4561,25.4373,Kuusalu
74610,59.4585,25.4652,Kupu
74611,59.4353,25.5093,Kursi
74612,59.5058,25.5181,Muuksi
74613,59.3655,25.8581,Pala
74614,59.4943,25.4883,Soorinna
74615,59.4228,25.7576,Suru
74616,59.5169,25.5095,Tsitre
74617,59.4029,25.8213,Tõreska
74618,59.3084,25.8715,Kolgu
74619,59.4405,25.4753,Ilmastalu
74620,59.4555,25.6017,Vahastu
74621,59.4669,25.5321,Kahala
74622,59.3758,25.6836,Koitjärve
74623,59.4819,25.4592,Sõitme
74624,59.4154,25.4405,Rehatse
74625,59.44,25.5935,Sigula
74626,59.5204,25.5559,Pudisoo
74627,59.4994,25.5683,Uuri
74628,59.4662,25.2869,Haavakannu
74629,59.4879,25.3794,Salmistu
74630,59.4761,25.3379,Valkla
74631,59.4733,25.2678,Kaberla
74632,59.4443,25.2752,Kodasoo
74633,59.4461,25.3136,Rummu
74634,59.4219,25.371,Külmaallika
74635,59.4839,25.4249,Põhja
74636,59.4237,25.3121,Saunja
74637,59.4634,25.4166,Allika
74638,59.4777,25.4013,Mäepea
74639,59.4786,25.589,Mustametsa
74640,59.4795,25.5823,Mustametsa
74641,59.4734,25.4087,Allika
74642,59.4583,25.4004,Mäepea
74701,59.642,25.7436,Viinistu
74702,59.4872,25.7216,Kõnnu
74703,59.5549,25.7945,Vihasoo
74704,59.6035,25.5035,Leesi
74706,59.6479,25.6972,Pärispea
74707,59.6184,25.7665,Turbuneeme
74708,59.4631,25.6925,Kemba
74709,59.4511,25.6542,Liiapeksi
74710,59.5016,25.7616,Parksi
74711,59.4871,25.7839,Vanaküla
74712,59.4679,25.7869,Valgejõe
74713,59.4959,25.732,Murksi
74714,59.4858,25.703,Kalme
74715,59.5581,25.8239,Tammispea
74716,59.636,25.5107,Juminda
74717,59.5685,25.535,Kolga-Aabla
74718,59.5461,25.5584,Pedaspea
74719,59.6223,25.5013,Tammistu
74720,59.5842,25.5257,Kiiu-Aabla
74721,59.6078,25.5565,Tapurla
74808,59.5261,25.7007,Kolgaküla
74809,59.5428,25.7465,Kotka
74810,59.5655,25.6462,Hara
74811,59.5909,25.7672,Kasispea
74812,59.6207,25.6975,Suurpea
74813,59.5105,25.8196,Joaveski
74814,59.5926,25.5962,Virve
74815,59.5074,25.7926,Nõmmeveski
74816,59.571,25.7357,Loksa
76001,59.225,24.1405,Padise
76002,59.2282,24.0106,Harju-Risti
76003,59.2539,23.8789,Vihterpalu
76004,59.1831,24.1558,Kobru
76005,59.183,24.0818,Audevälja
76006,59.2518,24.1458,Karilepa
76007,59.2144,24.1633,Kasepere
76008,59.2467,24.1015,Laane
76009,59.1596,24.0905,Metslõugu
76010,59.2096,24.0957,Määra
76011,59.2673,24.1773,Suurküla
76012,59.2409,24.0286,Altküla
76013,59.1916,23.9484,Hatu
76014,59.2673,23.9304,Pedase
76015,59.2023,24.0172,Pae
76016,59.2169,24.0516,Kõmmaste
76017,59.2765,24.0284,Kurkse
76018,59.2716,23.8046,Alliklepa
76019,59.2564,23.7574,Keibu
76020,59.2359,23.9486,Vilivalla
76021,59.2718,23.8519,Vintse
76022,59.2248,23.8676,Änglema
76023,59.285,24.131,Madise
76101,59.2395,24.2893,Vasalemma
76102,59.2469,24.2392,Ämari
76103,59.2686,24.2678,Maeru
76104,59.2639,24.306,Nahkjala
76105,59.2378,24.2492,Veskiküla
76106,59.2326,24.2189,Veskiküla
76107,59.2266,24.2904,Lemmaru
76612,59.2921,24.3258,Lehola
76613,59.303,24.3761,Kulna
76616,59.3273,24.3649,Valkse
76619,59.341,24.3697,Tõmmiku
76620,59.3394,24.3897,Karjaküla
76621,59.2709,24.3691,Ohtu
76622,59.358,24.3284,Keelva
76623,59.3408,24.3014,Illurma
76624,59.3125,24.3081,Niitvälja
76701,59.3971,24.3019,Keila-Joa
76702,59.3771,24.2469,Laulasmaa
76703,59.3194,24.2321,Klooga
76705,59.3939,24.2723,Meremõisa
76708,59.3475,24.255,Kloogaranna
76709,59.395,24.2027,Lohusalu
76710,59.3446,24.279,Tuulna
76711,59.2987,24.174,Langa
76712,59.318,24.1683,Põllküla
76713,59.3385,24.1967,Kersalu
76714,59.325,24.125,Laoküla
76715,59.366,24.2862,Käesalu
76716,59.2911,24.1327,Madise
76718,59.3072,24.3213,Niitvälja
76719,59.4039,24.2819,Merenuka
76801,59.352,24.1605,Paldiski
76804,59.3357,24.1003,Paldiski
76805,59.3517,24.0568,Paldiski
76806,59.3528,24.0653,Paldiski
76807,59.3537,24.0791,Paldiski
75201,59.3641,25.0748,Aruküla
75202,59.2902,25.1349,Pikavere
75203,59.3697,25.1741,Raasiku
75204,59.3677,25.0491,Järsi
75205,59.3833,25.0085,Kulli
75206,59.3866,25.0855,Kurgla
75207,59.3488,25.1046,Kalesi
75208,59.3404,25.0771,Igavere
75209,59.295,25.2518,Kiviloo
75210,59.2578,25.1393,Mallavere
75211,59.3339,25.1553,Peningi
75212,59.2899,25.1865,Perila
75214,59.2766,25.1643,Härma
75216,59.3181,25.2066,Rätla
75223,59.3587,25.1382,Tõhelgi
10112,59.4052,24.8177,Peetri
11218,59.37,24.7655,Järveküla
75213,59.2956,25.0753,Suursoo
75217,59.2663,25.0706,Salu
75218,59.2633,25.0978,Urvaste
75301,59.3549,24.9047,Jüri
75302,59.2877,24.9768,Vaida
75303,59.4007,24.9347,Lagedi
75304,59.3829,24.8069,Järveküla
75305,59.3424,24.9088,Aaviku
75306,59.3652,24.8732,Lehmja
75307,59.3422,24.8441,Kurna
75308,59.3582,24.8801,Pildiküla
75309,59.3662,24.9834,Pajupea
75310,59.3837,24.8614,Rae
75311,59.3368,25.0022,Seli
75312,59.3975,24.8075,Peetri
75313,59.3658,24.9463,Vaskjala
75314,59.3474,24.9696,Limu
75315,59.3394,24.9416,Kautjala
75316,59.3068,24.9313,Patika
75317,59.3222,24.9573,Veskitaguse
75318,59.3014,24.9733,Suuresta
75319,59.2763,24.9985,Vaidasoo
75320,59.2529,25.0246,Aruvalla
75321,59.4067,24.952,Kopli
75322,59.4151,24.8986,Soodevahe
75323,59.4109,24.9348,Ülejõe
75324,59.3954,24.97,Kadaka
75325,59.4259,24.921,Veneküla
75326,59.3703,24.925,Karla
75327,59.3846,24.9338,Karla
75329,59.3878,24.9583,Tuulevälja
75330,59.3857,24.941,Vaskjala
75331,59.3612,24.8166,Uuesalu
75412,59.3434,24.772,Tammejärve
75501,59.3005,24.6608,Saku
75503,59.2399,24.6781,Kiisa
75504,59.2828,24.6975,Kajamaa
75505,59.2493,24.7354,Kirdalu
75506,59.261,24.6618,Metsanurme
75507,59.3062,24.7467,Saustinõmme
75508,59.2679,24.7245,Tõdva
75509,59.3171,24.6719,Tammemäe
75510,59.277,24.6638,Kasemetsa
75511,59.3416,24.6895,Männiku
75512,59.3098,24.639,Juuliku
75513,59.2841,24.64,Üksnurme
75514,59.2827,24.7489,Lokuti
75515,59.265,24.7609,Sookaera-Metsanurga
75516,59.225,24.6764,Roobuka
75517,59.2296,24.7793,Tagadi
75518,59.2288,24.7127,Kurtna
76404,59.3219,24.6112,Jälgimäe
76405,59.3043,24.5808,Saue
76406,59.3399,24.6422,Tänassilma
76414,59.2854,24.5699,Rahula
76415,59.2774,24.5351,Rahula
75519,59.2477,24.6501,Maidla
76201,59.08,24.2376,Turba
76202,59.1085,24.314,Riisipere
76203,59.0493,24.1776,Ellamaa
76204,59.0456,24.2583,Lehetu
76205,59.1135,24.2271,Tabara
76206,59.0887,24.211,Viruküla
76207,59.098,24.2611,Kivitammi
76208,59.1321,24.1464,Siimika
76209,59.1588,24.249,Aude
76210,59.13,24.3586,Odulemma
76211,59.1381,24.3151,Jaanika
76212,59.1176,24.2829,Vilumäe
76213,59.0955,24.302,Madila
76214,59.1091,24.3275,Ürjaste
76215,59.0681,24.3266,Nurme
76216,59.099,24.3802,Mustu
76217,59.0755,24.1489,Lepaste
76301,59.1278,24.4664,Haiba
76302,59.2045,24.3568,Laitse
76303,59.1811,24.472,Allika
76304,59.157,24.5082,Kohatu
76305,59.1317,24.4955,Kernu
76306,59.1396,24.5468,Kirikla
76307,59.1123,24.4921,Kustja
76308,59.1766,24.5054,Metsanurga
76309,59.2097,24.4634,Muusika
76310,59.1396,24.437,Mõnuste
76311,59.219,24.4274,Kabila
76312,59.1735,24.3528,Hingu
76313,59.2054,24.2809,Kibuna
76314,59.1628,24.385,Pohla
76315,59.1888,24.4395,Ruila
76316,59.2091,24.3515,Vansi
76317,59.1892,24.333,Kaasiku
76318,59.1882,24.2418,Munalaskme
76401,59.3504,24.6213,Laagri
76402,59.2417,24.5147,Ääsmäe
76403,59.3587,24.5795,Alliku
76407,59.326,24.5269,Vanamõisa
76408,59.2031,24.5708,Pärinurme
76409,59.2118,24.5165,Tagametsa
76410,59.2625,24.5497,Koppelmaa
76411,59.2892,24.5272,Jõgisoo
76412,59.2981,24.5369,Jõgisoo
76413,59.3048,24.5166,Aila
76416,59.2249,24.6089,Maidla
76417,59.242,24.4786,Pällu
76418,59.3441,24.5891,Koidu
76505,59.3236,24.5609,Saue
76506,59.3289,24.5465,Vanamõisa
76615,59.3043,24.4768,Valingu
76618,59.2661,24.4497,Tuula
76626,59.2425,24.4749,Pällu
76911,59.3802,24.5416,Hüüru
76913,59.3591,24.5208,Püha
76914,59.3601,24.4844,Kiia
76915,59.3974,24.5232,Vatsla
10001,59.43,24.7945,Lasnamäe
10111,59.4427,24.7557,Kesklinna
10113,59.4298,24.7675,Kesklinna
10114,59.4308,24.7545,Kesklinna
10115,59.4299,24.7725,Kesklinna
10116,59.4305,24.7501,Kesklinna
10117,59.4363,24.7605,Kesklinna
